0	Kingdom	Phylum	Class	Order	Family	Genus
8095	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
8022	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8021	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
8020	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
8005	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
8004	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
8003	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
8002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
8001	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
8000	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
7999	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7998	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
7997	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
8104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
8105	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
8106	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
8107	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
8133	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister
8132	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8130	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
8128	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
8127	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8126	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8125	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
8124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
8123	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8122	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	unclassified
7995	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
8121	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster
8119	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
8117	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
8116	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
8115	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
8114	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
8113	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
8111	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
8110	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
8109	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
8108	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
8120	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	unclassified
3005	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
11330	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified
3010	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
3270	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3271	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3272	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
3273	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3274	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3276	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
3278	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7466	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7465	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7462	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7461	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified
7460	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
7440	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7439	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7410	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
7409	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7408	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
7407	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
7406	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
7405	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7404	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3269	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
3332	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
3268	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7492	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3227	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
